"Number","x","y","Species","DBH","Height","CrownRadius","CrownDiameter","CrownArea","CrownBaseHeight","CrownLength","CanopyFuelMass","MortalityProbability","Status"
168,8.80016556475312,18.5789961926639,"PIED",5,3.71780537488748,1.03284767760639,2.06569535521277,3.35137038288831,1.3,2.41780537488748,5.33430690842092,0.351644020716038,"dead"
198,5.80929355695844,10.9955087024719,"PIED",9.96301639348474,5.63571741228395,1.3989716338858,2.79794326777161,6.14847894258327,1.3,4.33571741228395,21.6223207522141,0.252797160732379,"live"
202,16.8472083145753,13.1574197066948,"JUSO",8.21454900306871,4.66832346786085,1.24894685598634,2.49789371197267,4.9004706318719,1.3,3.36832346786085,12.4158578233165,0.265077799252367,"live"
210,18.5254564275965,5.56111660320312,"PIED",5.36951468272693,3.87582224136486,1.06529801327967,2.13059602655935,3.56526738991185,1.3,2.57582224136486,6.1650557738253,0.342857577770551,"dead"
211,3.44851672183722,16.0840425733477,"PIED",27.2694811694068,9.78239627739149,2.14051685290634,4.28103370581268,14.3941881683516,1.36280182975402,8.41959444763747,166.952507726526,0.100789472010153,"live"
212,1.14951084833592,19.0893801208586,"PIED",6.1031354235018,4.18186255478673,1.12660739395345,2.2532147879069,3.98744831751071,1.3,2.88186255478673,7.99542389780624,0.326164512764437,"dead"
215,4.77266830857843,3.68095912970603,"PIED",18.2386877797571,8.01873474996943,1.81843295988361,3.63686591976723,10.3882994940402,1.3,6.71873474996943,73.7880232257621,0.154600942319806,"live"
223,3.15929376985878,1.75891286693513,"PIED",15.9453463659879,7.44458974762354,1.71771119791479,3.43542239582958,9.26936889964592,1.3,6.14458974762354,56.1714744639883,0.175665029831976,"live"
225,10.0964065268636,12.6152137946337,"PIED",12.8604478227584,6.57261507865561,1.56518867972967,3.13037735945934,7.69632270151798,1.3,5.27261507865561,36.304357612269,0.210840269393493,"live"
226,17.4590815557167,1.82488426566124,"JUSO",24.2367125988066,8.32349598338196,2.2339822234715,4.46796444694301,15.6786728637925,1.3,7.02349598338196,91.0005881348354,0.113324490417072,"live"
227,12.5306141190231,8.36512713693082,"PIED",6.45396237093222,4.32468220109628,1.15461074070547,2.30922148141093,4.18813873026452,1.3,3.02468220109628,8.95605065250663,0.318521394701668,"dead"
228,3.95367820281535,19.1523372335359,"PIED",10.2105873664579,5.72062897258834,1.41423033588563,2.82846067177126,6.2833343535688,1.3,4.42062897258834,22.7269869982632,0.248820139306012,"live"
230,3.35667395032942,15.8443708950654,"PIED",5,3.71780537488748,1.03284767760639,2.06569535521277,3.35137038288831,1.3,2.41780537488748,5.33430690842092,0.351644020716038,"dead"
232,4.95695683173835,10.9949618251994,"PIED",14.2332630560681,6.97563387459047,1.6357594033621,3.2715188067242,8.40598718992535,1.3,5.67563387459047,44.6043255123092,0.19411138943298,"live"
233,4.18074128683656,6.36587086133659,"PIED",6.95247361622573,4.52378398413229,1.19308782562873,2.38617565125746,4.47192695372832,1.3,3.22378398413229,10.4162589909785,0.308023249051983,"dead"
235,1.64794861804694,5.90923523064703,"PIED",12.4913404816081,6.45994119981603,1.54539449694637,3.09078899389275,7.502890280364,1.3,5.15994119981603,34.2204135974838,0.215660471976879,"live"
237,15.2511282032356,0.505491904914379,"PIED",22.2880749258843,8.89850930386158,1.97556523948881,3.95113047897762,12.2611900694249,1.3,7.59850930386158,110.85522944903,0.125656366098788,"live"
239,0.821577641181648,19.779329909943,"JUSO",28.6604153219944,8.91412883284211,2.41702773583618,4.83405547167236,18.3532567770397,1.3,7.61412883284211,123.903946200924,0.0937979560369821,"live"
240,12.321476037614,0.634472668170929,"PIED",22.3255907098555,8.90593367698159,1.97691445769157,3.95382891538314,12.2779434213783,1.3,7.60593367698159,111.234343609245,0.125429641867536,"live"
241,8.81176363676786,2.20718455966562,"JUSO",8.06173091852688,4.6174573786334,1.2357930517933,2.47158610358659,4.79779150176567,1.3,3.3174573786334,11.9939598533362,0.267498440360918,"live"
243,8.9970147004351,3.39247611816972,"PIED",9.95869169843513,5.63422571131428,1.39870312734807,2.79740625469615,6.14611899714507,1.3,4.33422571131428,21.6032720281245,0.252867335741267,"live"
244,14.7954917699099,18.4351018443704,"PIED",17.0573866228816,7.73039435418669,1.76774975845249,3.53549951690498,9.81728606036607,1.3,6.43039435418669,64.4096963448277,0.164968324688703,"live"
246,0.459619299818484,20,"PIED",7.13797849113,4.59674043890379,1.20703678800762,2.41407357601525,4.57710511310519,1.3,3.29674043890379,10.9882015620433,0.304222356530526,"live"
247,7.79004029591605,13.7911447701699,"PIED",17.6419564469964,7.87499614691061,1.79313508031143,3.58627016062286,10.1012678393123,1.3,6.57499614691061,68.9697709803263,0.159715545561039,"live"
248,4.74199300631881,4.06733457930386,"JUSO",18.7536842664574,7.38466505652873,1.96467716797616,3.92935433595232,12.1264105888879,1.3,6.08466505652873,56.751915466489,0.14763077807943,"live"
249,9.66594363097101,9.06924297101796,"JUSO",13.1471938384486,6.11782215624425,1.62469939043458,3.24939878086915,8.29269910817148,1.3,4.81782215624425,29.5120765185504,0.199359232616563,"live"
250,12.9612620733678,0.6046237424016,"JUSO",13.0168215204527,6.08393118826386,1.61582160226014,3.23164320452028,8.20231970056693,1.3,4.78393118826386,28.9755512270162,0.200820211246261,"live"
251,5.11053639258789,6.56134136577152,"PIED",10.1451623699864,5.6982814772998,1.41021922788052,2.82043845576104,6.24774270924043,1.3,4.3982814772998,22.4323444380166,0.249863491930825,"live"
